"","treatment","day","paint","days.after.paint","exp.time","alive","dead","knockdown","unviable","living","total","prop.alive","prop.dead","prop.kd","prop.uv","prop.liv","pch","lty"
"2","01H-5A-1",0,"5A",1,"01H",44,0,0,0,44,44,1,0,0,0,1,18,1
"3","01H-5A-180",0,"5A",180,"01H",44,0,0,0,44,44,1,0,0,0,1,17,1
"4","01H-5A-90",0,"5A",90,"01H",48,0,0,0,48,48,1,0,0,0,1,20,1
"5","01H-CO-1",0,"CO",1,"01H",48,0,0,0,48,48,1,0,0,0,1,18,1
"6","01H-CO-180",0,"CO",180,"01H",44,0,0,0,44,44,1,0,0,0,1,17,1
"7","01H-CO-90",0,"CO",90,"01H",48,0,0,0,48,48,1,0,0,0,1,20,1
"8","03H-5A-1",0,"5A",1,"03H",48,0,0,0,48,48,1,0,0,0,1,18,2
"9","03H-5A-180",0,"5A",180,"03H",44,0,0,0,44,44,1,0,0,0,1,17,2
"10","03H-5A-90",0,"5A",90,"03H",48,0,0,0,48,48,1,0,0,0,1,20,2
"11","03H-CO-1",0,"CO",1,"03H",48,0,0,0,48,48,1,0,0,0,1,18,2
"12","03H-CO-180",0,"CO",180,"03H",44,0,0,0,44,44,1,0,0,0,1,17,2
"13","03H-CO-90",0,"CO",90,"03H",48,0,0,0,48,48,1,0,0,0,1,20,2
"14","06H-5A-1",0,"5A",1,"06H",48,0,0,0,48,48,1,0,0,0,1,18,3
"15","06H-5A-180",0,"5A",180,"06H",44,0,0,0,44,44,1,0,0,0,1,17,3
"16","06H-5A-90",0,"5A",90,"06H",48,0,0,0,48,48,1,0,0,0,1,20,3
"17","06H-CO-1",0,"CO",1,"06H",48,0,0,0,48,48,1,0,0,0,1,18,3
"19","06H-CO-180",0,"CO",180,"06H",44,0,0,0,44,44,1,0,0,0,1,17,3
"20","06H-CO-90",0,"CO",90,"06H",48,0,0,0,48,48,1,0,0,0,1,20,3
"21","24H-5A-1",0,"5A",1,"24H",48,0,0,0,48,48,1,0,0,0,1,18,4
"22","24H-5A-180",0,"5A",180,"24H",45,0,0,0,45,45,1,0,0,0,1,17,4
"23","24H-5A-90",0,"5A",90,"24H",48,0,0,0,48,48,1,0,0,0,1,20,4
"24","24H-CF-1",0,"CF",1,"24H",46,0,0,0,46,46,1,0,0,0,1,18,4
"25","24H-CF-180",0,"CF",180,"24H",45,0,0,0,45,45,1,0,0,0,1,17,4
"26","24H-CF-90",0,"CF",90,"24H",48,0,0,0,48,48,1,0,0,0,1,20,4
"27","24H-CO-1",0,"CO",1,"24H",48,0,0,0,48,48,1,0,0,0,1,18,4
"28","24H-CO-180",0,"CO",180,"24H",44,0,0,0,44,44,1,0,0,0,1,17,4
"29","24H-CO-90",0,"CO",90,"24H",48,0,0,0,48,48,1,0,0,0,1,20,4
"210","01H-5A-1",1,"5A",1,"01H",15,0,29,29,44,44,0.340909090909091,0,0.659090909090909,0.659090909090909,1,18,1
"35","01H-5A-1",2,"5A",1,"01H",19,8,17,25,36,44,0.431818181818182,0.181818181818182,0.386363636363636,0.568181818181818,0.818181818181818,18,1
"410","01H-5A-1",7,"5A",1,"01H",29,11,4,15,33,44,0.659090909090909,0.25,0.0909090909090909,0.340909090909091,0.75,18,1
"52","01H-5A-1",14,"5A",1,"01H",30,14,0,14,30,44,0.681818181818182,0.318181818181818,0,0.318181818181818,0.681818181818182,18,1
"69","01H-5A-1",21,"5A",1,"01H",25,19,0,19,25,44,0.568181818181818,0.431818181818182,0,0.431818181818182,0.568181818181818,18,1
"710","01H-5A-1",28,"5A",1,"01H",0,0,0,0,0,0,NA,NA,NA,NA,NA,18,1
"86","01H-5A-180",1,"5A",180,"01H",2,10,32,42,34,44,0.0454545454545455,0.227272727272727,0.727272727272727,0.954545454545455,0.772727272727273,17,1
"910","01H-5A-180",7,"5A",180,"01H",2,28,14,42,16,44,0.0454545454545455,0.636363636363636,0.318181818181818,0.954545454545455,0.363636363636364,17,1
"103","01H-5A-180",14,"5A",180,"01H",5,30,9,39,14,44,0.113636363636364,0.681818181818182,0.204545454545455,0.886363636363636,0.318181818181818,17,1
"1110","01H-5A-180",21,"5A",180,"01H",3,35,6,41,9,44,0.0681818181818182,0.795454545454545,0.136363636363636,0.931818181818182,0.204545454545455,17,1
"1210","01H-5A-180",28,"5A",180,"01H",2,41,1,42,3,44,0.0454545454545455,0.931818181818182,0.0227272727272727,0.954545454545455,0.0681818181818182,17,1
"137","01H-5A-90",1,"5A",90,"01H",0,7,41,48,41,48,0,0.145833333333333,0.854166666666667,1,0.854166666666667,20,1
"1410","01H-5A-90",7,"5A",90,"01H",0,31,17,48,17,48,0,0.645833333333333,0.354166666666667,1,0.354166666666667,20,1
"154","01H-5A-90",13,"5A",90,"01H",1,39,8,47,9,48,0.0208333333333333,0.8125,0.166666666666667,0.979166666666667,0.1875,20,1
"161","01H-5A-90",21,"5A",90,"01H",1,45,2,47,3,48,0.0208333333333333,0.9375,0.0416666666666667,0.979166666666667,0.0625,20,1
"171","01H-5A-90",28,"5A",90,"01H",1,46,1,47,2,48,0.0208333333333333,0.958333333333333,0.0208333333333333,0.979166666666667,0.0416666666666667,20,1
"191","01H-CO-1",1,"CO",1,"01H",48,0,0,0,48,48,1,0,0,0,1,18,1
"201","01H-CO-1",2,"CO",1,"01H",48,0,0,0,48,48,1,0,0,0,1,18,1
"211","01H-CO-1",7,"CO",1,"01H",48,0,0,0,48,48,1,0,0,0,1,18,1
"221","01H-CO-1",14,"CO",1,"01H",48,0,0,0,48,48,1,0,0,0,1,18,1
"231","01H-CO-1",21,"CO",1,"01H",46,2,0,2,46,48,0.958333333333333,0.0416666666666667,0,0.0416666666666667,0.958333333333333,18,1
"241","01H-CO-1",28,"CO",1,"01H",0,0,0,0,0,0,NA,NA,NA,NA,NA,18,1
"251","01H-CO-180",1,"CO",180,"01H",41,3,0,3,41,44,0.931818181818182,0.0681818181818182,0,0.0681818181818182,0.931818181818182,17,1
"261","01H-CO-180",7,"CO",180,"01H",36,8,0,8,36,44,0.818181818181818,0.181818181818182,0,0.181818181818182,0.818181818181818,17,1
"271","01H-CO-180",14,"CO",180,"01H",33,9,2,11,35,44,0.75,0.204545454545455,0.0454545454545455,0.25,0.795454545454545,17,1
"281","01H-CO-180",21,"CO",180,"01H",31,13,0,13,31,44,0.704545454545455,0.295454545454545,0,0.295454545454545,0.704545454545455,17,1
"291","01H-CO-180",28,"CO",180,"01H",29,14,1,15,30,44,0.659090909090909,0.318181818181818,0.0227272727272727,0.340909090909091,0.681818181818182,17,1
"30","01H-CO-90",1,"CO",90,"01H",44,3,1,4,45,48,0.916666666666667,0.0625,0.0208333333333333,0.0833333333333333,0.9375,20,1
"31","01H-CO-90",7,"CO",90,"01H",42,6,0,6,42,48,0.875,0.125,0,0.125,0.875,20,1
"32","01H-CO-90",13,"CO",90,"01H",41,7,0,7,41,48,0.854166666666667,0.145833333333333,0,0.145833333333333,0.854166666666667,20,1
"33","01H-CO-90",21,"CO",90,"01H",39,9,0,9,39,48,0.8125,0.1875,0,0.1875,0.8125,20,1
"34","01H-CO-90",28,"CO",90,"01H",39,9,0,9,39,48,0.8125,0.1875,0,0.1875,0.8125,20,1
"36","03H-5A-1",1,"5A",1,"03H",8,3,37,40,45,48,0.166666666666667,0.0625,0.770833333333333,0.833333333333333,0.9375,18,2
"37","03H-5A-1",2,"5A",1,"03H",18,10,20,30,38,48,0.375,0.208333333333333,0.416666666666667,0.625,0.791666666666667,18,2
"38","03H-5A-1",7,"5A",1,"03H",24,20,4,24,28,48,0.5,0.416666666666667,0.0833333333333333,0.5,0.583333333333333,18,2
"39","03H-5A-1",14,"5A",1,"03H",25,20,3,23,28,48,0.520833333333333,0.416666666666667,0.0625,0.479166666666667,0.583333333333333,18,2
"40","03H-5A-1",21,"5A",1,"03H",23,23,2,25,25,48,0.479166666666667,0.479166666666667,0.0416666666666667,0.520833333333333,0.520833333333333,18,2
"41","03H-5A-1",28,"5A",1,"03H",20,25,3,28,23,48,0.416666666666667,0.520833333333333,0.0625,0.583333333333333,0.479166666666667,18,2
"42","03H-5A-180",1,"5A",180,"03H",1,8,35,43,36,44,0.0227272727272727,0.181818181818182,0.795454545454545,0.977272727272727,0.818181818181818,17,2
"43","03H-5A-180",7,"5A",180,"03H",0,31,13,44,13,44,0,0.704545454545455,0.295454545454545,1,0.295454545454545,17,2
"44","03H-5A-180",14,"5A",180,"03H",0,34,10,44,10,44,0,0.772727272727273,0.227272727272727,1,0.227272727272727,17,2
"45","03H-5A-180",21,"5A",180,"03H",0,39,5,44,5,44,0,0.886363636363636,0.113636363636364,1,0.113636363636364,17,2
"46","03H-5A-180",28,"5A",180,"03H",0,42,2,44,2,44,0,0.954545454545455,0.0454545454545455,1,0.0454545454545455,17,2
"47","03H-5A-90",1,"5A",90,"03H",0,10,38,48,38,48,0,0.208333333333333,0.791666666666667,1,0.791666666666667,20,2
"48","03H-5A-90",7,"5A",90,"03H",1,25,22,47,23,48,0.0208333333333333,0.520833333333333,0.458333333333333,0.979166666666667,0.479166666666667,20,2
"49","03H-5A-90",13,"5A",90,"03H",0,34,14,48,14,48,0,0.708333333333333,0.291666666666667,1,0.291666666666667,20,2
"50","03H-5A-90",21,"5A",90,"03H",1,41,6,47,7,48,0.0208333333333333,0.854166666666667,0.125,0.979166666666667,0.145833333333333,20,2
"51","03H-5A-90",28,"5A",90,"03H",0,45,3,48,3,48,0,0.9375,0.0625,1,0.0625,20,2
"53","03H-CO-1",1,"CO",1,"03H",46,2,0,2,46,48,0.958333333333333,0.0416666666666667,0,0.0416666666666667,0.958333333333333,18,2
"54","03H-CO-1",2,"CO",1,"03H",46,2,0,2,46,48,0.958333333333333,0.0416666666666667,0,0.0416666666666667,0.958333333333333,18,2
"55","03H-CO-1",7,"CO",1,"03H",46,2,0,2,46,48,0.958333333333333,0.0416666666666667,0,0.0416666666666667,0.958333333333333,18,2
"56","03H-CO-1",14,"CO",1,"03H",46,2,0,2,46,48,0.958333333333333,0.0416666666666667,0,0.0416666666666667,0.958333333333333,18,2
"57","03H-CO-1",21,"CO",1,"03H",45,3,0,3,45,48,0.9375,0.0625,0,0.0625,0.9375,18,2
"58","03H-CO-1",28,"CO",1,"03H",41,7,0,7,41,48,0.854166666666667,0.145833333333333,0,0.145833333333333,0.854166666666667,18,2
"59","03H-CO-180",1,"CO",180,"03H",40,2,2,4,42,44,0.909090909090909,0.0454545454545455,0.0454545454545455,0.0909090909090909,0.954545454545455,17,2
"60","03H-CO-180",7,"CO",180,"03H",37,7,0,7,37,44,0.840909090909091,0.159090909090909,0,0.159090909090909,0.840909090909091,17,2
"61","03H-CO-180",14,"CO",180,"03H",33,11,0,11,33,44,0.75,0.25,0,0.25,0.75,17,2
"62","03H-CO-180",21,"CO",180,"03H",31,13,0,13,31,44,0.704545454545455,0.295454545454545,0,0.295454545454545,0.704545454545455,17,2
"63","03H-CO-180",28,"CO",180,"03H",29,14,1,15,30,44,0.659090909090909,0.318181818181818,0.0227272727272727,0.340909090909091,0.681818181818182,17,2
"64","03H-CO-90",1,"CO",90,"03H",41,5,2,7,43,48,0.854166666666667,0.104166666666667,0.0416666666666667,0.145833333333333,0.895833333333333,20,2
"65","03H-CO-90",7,"CO",90,"03H",40,7,1,8,41,48,0.833333333333333,0.145833333333333,0.0208333333333333,0.166666666666667,0.854166666666667,20,2
"66","03H-CO-90",13,"CO",90,"03H",40,7,1,8,41,48,0.833333333333333,0.145833333333333,0.0208333333333333,0.166666666666667,0.854166666666667,20,2
"67","03H-CO-90",21,"CO",90,"03H",36,11,1,12,37,48,0.75,0.229166666666667,0.0208333333333333,0.25,0.770833333333333,20,2
"68","03H-CO-90",28,"CO",90,"03H",33,14,1,15,34,48,0.6875,0.291666666666667,0.0208333333333333,0.3125,0.708333333333333,20,2
"70","06H-5A-1",1,"5A",1,"06H",5,1,42,43,47,48,0.104166666666667,0.0208333333333333,0.875,0.895833333333333,0.979166666666667,18,3
"71","06H-5A-1",2,"5A",1,"06H",9,6,33,39,42,48,0.1875,0.125,0.6875,0.8125,0.875,18,3
"72","06H-5A-1",7,"5A",1,"06H",13,21,14,35,27,48,0.270833333333333,0.4375,0.291666666666667,0.729166666666667,0.5625,18,3
"73","06H-5A-1",14,"5A",1,"06H",15,27,6,33,21,48,0.3125,0.5625,0.125,0.6875,0.4375,18,3
"74","06H-5A-1",21,"5A",1,"06H",14,30,4,34,18,48,0.291666666666667,0.625,0.0833333333333333,0.708333333333333,0.375,18,3
"75","06H-5A-1",28,"5A",1,"06H",14,33,1,34,15,48,0.291666666666667,0.6875,0.0208333333333333,0.708333333333333,0.3125,18,3
"76","06H-5A-180",1,"5A",180,"06H",0,7,37,44,37,44,0,0.159090909090909,0.840909090909091,1,0.840909090909091,17,3
"77","06H-5A-180",7,"5A",180,"06H",0,29,15,44,15,44,0,0.659090909090909,0.340909090909091,1,0.340909090909091,17,3
"78","06H-5A-180",14,"5A",180,"06H",1,34,9,43,10,44,0.0227272727272727,0.772727272727273,0.204545454545455,0.977272727272727,0.227272727272727,17,3
"79","06H-5A-180",21,"5A",180,"06H",0,35,9,44,9,44,0,0.795454545454545,0.204545454545455,1,0.204545454545455,17,3
"80","06H-5A-180",28,"5A",180,"06H",0,40,4,44,4,44,0,0.909090909090909,0.0909090909090909,1,0.0909090909090909,17,3
"81","06H-5A-90",1,"5A",90,"06H",0,13,35,48,35,48,0,0.270833333333333,0.729166666666667,1,0.729166666666667,20,3
"82","06H-5A-90",7,"5A",90,"06H",0,38,10,48,10,48,0,0.791666666666667,0.208333333333333,1,0.208333333333333,20,3
"83","06H-5A-90",13,"5A",90,"06H",1,40,7,47,8,48,0.0208333333333333,0.833333333333333,0.145833333333333,0.979166666666667,0.166666666666667,20,3
"84","06H-5A-90",21,"5A",90,"06H",3,44,1,45,4,48,0.0625,0.916666666666667,0.0208333333333333,0.9375,0.0833333333333333,20,3
"85","06H-5A-90",28,"5A",90,"06H",2,45,1,46,3,48,0.0416666666666667,0.9375,0.0208333333333333,0.958333333333333,0.0625,20,3
"87","06H-CO-1",1,"CO",1,"06H",48,0,0,0,48,48,1,0,0,0,1,18,3
"88","06H-CO-1",2,"CO",1,"06H",48,0,0,0,48,48,1,0,0,0,1,18,3
"89","06H-CO-1",7,"CO",1,"06H",47,1,0,1,47,48,0.979166666666667,0.0208333333333333,0,0.0208333333333333,0.979166666666667,18,3
"90","06H-CO-1",14,"CO",1,"06H",46,2,0,2,46,48,0.958333333333333,0.0416666666666667,0,0.0416666666666667,0.958333333333333,18,3
"91","06H-CO-1",21,"CO",1,"06H",43,5,0,5,43,48,0.895833333333333,0.104166666666667,0,0.104166666666667,0.895833333333333,18,3
"92","06H-CO-1",28,"CO",1,"06H",43,5,0,5,43,48,0.895833333333333,0.104166666666667,0,0.104166666666667,0.895833333333333,18,3
"93","06H-CO-180",1,"CO",180,"06H",36,8,0,8,36,44,0.818181818181818,0.181818181818182,0,0.181818181818182,0.818181818181818,17,3
"94","06H-CO-180",7,"CO",180,"06H",32,12,0,12,32,44,0.727272727272727,0.272727272727273,0,0.272727272727273,0.727272727272727,17,3
"95","06H-CO-180",14,"CO",180,"06H",31,13,0,13,31,44,0.704545454545455,0.295454545454545,0,0.295454545454545,0.704545454545455,17,3
"96","06H-CO-180",21,"CO",180,"06H",29,15,0,15,29,44,0.659090909090909,0.340909090909091,0,0.340909090909091,0.659090909090909,17,3
"97","06H-CO-180",28,"CO",180,"06H",26,18,0,18,26,44,0.590909090909091,0.409090909090909,0,0.409090909090909,0.590909090909091,17,3
"98","06H-CO-90",1,"CO",90,"06H",44,3,1,4,45,48,0.916666666666667,0.0625,0.0208333333333333,0.0833333333333333,0.9375,20,3
"99","06H-CO-90",7,"CO",90,"06H",38,9,1,10,39,48,0.791666666666667,0.1875,0.0208333333333333,0.208333333333333,0.8125,20,3
"100","06H-CO-90",13,"CO",90,"06H",36,11,1,12,37,48,0.75,0.229166666666667,0.0208333333333333,0.25,0.770833333333333,20,3
"101","06H-CO-90",21,"CO",90,"06H",34,12,2,14,36,48,0.708333333333333,0.25,0.0416666666666667,0.291666666666667,0.75,20,3
"102","06H-CO-90",28,"CO",90,"06H",31,17,0,17,31,48,0.645833333333333,0.354166666666667,0,0.354166666666667,0.645833333333333,20,3
"104","24H-5A-1",1,"5A",1,"24H",0,4,44,48,44,48,0,0.0833333333333333,0.916666666666667,1,0.916666666666667,18,4
"105","24H-5A-1",2,"5A",1,"24H",0,10,38,48,38,48,0,0.208333333333333,0.791666666666667,1,0.791666666666667,18,4
"106","24H-5A-1",7,"5A",1,"24H",1,42,5,47,6,48,0.0208333333333333,0.875,0.104166666666667,0.979166666666667,0.125,18,4
"107","24H-5A-1",14,"5A",1,"24H",1,45,2,47,3,48,0.0208333333333333,0.9375,0.0416666666666667,0.979166666666667,0.0625,18,4
"108","24H-5A-1",21,"5A",1,"24H",1,47,0,47,1,48,0.0208333333333333,0.979166666666667,0,0.979166666666667,0.0208333333333333,18,4
"109","24H-5A-1",28,"5A",1,"24H",1,47,0,47,1,48,0.0208333333333333,0.979166666666667,0,0.979166666666667,0.0208333333333333,18,4
"110","24H-5A-180",1,"5A",180,"24H",0,7,38,45,38,45,0,0.155555555555556,0.844444444444444,1,0.844444444444444,17,4
"111","24H-5A-180",7,"5A",180,"24H",0,31,14,45,14,45,0,0.688888888888889,0.311111111111111,1,0.311111111111111,17,4
"112","24H-5A-180",14,"5A",180,"24H",0,37,8,45,8,45,0,0.822222222222222,0.177777777777778,1,0.177777777777778,17,4
"113","24H-5A-180",21,"5A",180,"24H",0,42,3,45,3,45,0,0.933333333333333,0.0666666666666667,1,0.0666666666666667,17,4
"114","24H-5A-180",28,"5A",180,"24H",1,43,1,44,2,45,0.0222222222222222,0.955555555555556,0.0222222222222222,0.977777777777778,0.0444444444444444,17,4
"115","24H-5A-90",1,"5A",90,"24H",0,9,39,48,39,48,0,0.1875,0.8125,1,0.8125,20,4
"116","24H-5A-90",7,"5A",90,"24H",3,37,8,45,11,48,0.0625,0.770833333333333,0.166666666666667,0.9375,0.229166666666667,20,4
"117","24H-5A-90",13,"5A",90,"24H",1,42,5,47,6,48,0.0208333333333333,0.875,0.104166666666667,0.979166666666667,0.125,20,4
"118","24H-5A-90",21,"5A",90,"24H",0,48,0,48,0,48,0,1,0,1,0,20,4
"119","24H-5A-90",28,"5A",90,"24H",0,48,0,48,0,48,0,1,0,1,0,20,4
"121","24H-CF-1",1,"CF",1,"24H",43,2,1,3,44,46,0.934782608695652,0.0434782608695652,0.0217391304347826,0.0652173913043478,0.956521739130435,18,4
"122","24H-CF-1",2,"CF",1,"24H",40,5,1,6,41,46,0.869565217391304,0.108695652173913,0.0217391304347826,0.130434782608696,0.891304347826087,18,4
"123","24H-CF-1",7,"CF",1,"24H",36,7,3,10,39,46,0.782608695652174,0.152173913043478,0.0652173913043478,0.217391304347826,0.847826086956522,18,4
"124","24H-CF-1",14,"CF",1,"24H",35,10,1,11,36,46,0.760869565217391,0.217391304347826,0.0217391304347826,0.239130434782609,0.782608695652174,18,4
"125","24H-CF-1",21,"CF",1,"24H",35,11,0,11,35,46,0.760869565217391,0.239130434782609,0,0.239130434782609,0.760869565217391,18,4
"126","24H-CF-1",28,"CF",1,"24H",32,14,0,14,32,46,0.695652173913043,0.304347826086957,0,0.304347826086957,0.695652173913043,18,4
"127","24H-CF-180",1,"CF",180,"24H",40,4,1,5,41,45,0.888888888888889,0.0888888888888889,0.0222222222222222,0.111111111111111,0.911111111111111,17,4
"128","24H-CF-180",7,"CF",180,"24H",20,21,4,25,24,45,0.444444444444444,0.466666666666667,0.0888888888888889,0.555555555555556,0.533333333333333,17,4
"129","24H-CF-180",14,"CF",180,"24H",5,37,3,40,8,45,0.111111111111111,0.822222222222222,0.0666666666666667,0.888888888888889,0.177777777777778,17,4
"130","24H-CF-180",21,"CF",180,"24H",1,43,1,44,2,45,0.0222222222222222,0.955555555555556,0.0222222222222222,0.977777777777778,0.0444444444444444,17,4
"131","24H-CF-180",28,"CF",180,"24H",0,45,0,45,0,45,0,1,0,1,0,17,4
"132","24H-CF-90",1,"CF",90,"24H",39,4,5,9,44,48,0.8125,0.0833333333333333,0.104166666666667,0.1875,0.916666666666667,20,4
"133","24H-CF-90",7,"CF",90,"24H",27,20,1,21,28,48,0.5625,0.416666666666667,0.0208333333333333,0.4375,0.583333333333333,20,4
"134","24H-CF-90",13,"CF",90,"24H",24,22,2,24,26,48,0.5,0.458333333333333,0.0416666666666667,0.5,0.541666666666667,20,4
"135","24H-CF-90",21,"CF",90,"24H",19,27,2,29,21,48,0.395833333333333,0.5625,0.0416666666666667,0.604166666666667,0.4375,20,4
"136","24H-CF-90",28,"CF",90,"24H",12,34,2,36,14,48,0.25,0.708333333333333,0.0416666666666667,0.75,0.291666666666667,20,4
"138","24H-CO-1",1,"CO",1,"24H",45,2,1,3,46,48,0.9375,0.0416666666666667,0.0208333333333333,0.0625,0.958333333333333,18,4
"139","24H-CO-1",2,"CO",1,"24H",44,3,1,4,45,48,0.916666666666667,0.0625,0.0208333333333333,0.0833333333333333,0.9375,18,4
"140","24H-CO-1",7,"CO",1,"24H",42,5,1,6,43,48,0.875,0.104166666666667,0.0208333333333333,0.125,0.895833333333333,18,4
"141","24H-CO-1",14,"CO",1,"24H",42,6,0,6,42,48,0.875,0.125,0,0.125,0.875,18,4
"142","24H-CO-1",21,"CO",1,"24H",41,6,1,7,42,48,0.854166666666667,0.125,0.0208333333333333,0.145833333333333,0.875,18,4
"143","24H-CO-1",28,"CO",1,"24H",41,7,0,7,41,48,0.854166666666667,0.145833333333333,0,0.145833333333333,0.854166666666667,18,4
"144","24H-CO-180",1,"CO",180,"24H",44,0,0,0,44,44,1,0,0,0,1,17,4
"145","24H-CO-180",7,"CO",180,"24H",37,3,4,7,41,44,0.840909090909091,0.0681818181818182,0.0909090909090909,0.159090909090909,0.931818181818182,17,4
"146","24H-CO-180",14,"CO",180,"24H",38,4,2,6,40,44,0.863636363636364,0.0909090909090909,0.0454545454545455,0.136363636363636,0.909090909090909,17,4
"147","24H-CO-180",21,"CO",180,"24H",33,10,1,11,34,44,0.75,0.227272727272727,0.0227272727272727,0.25,0.772727272727273,17,4
"148","24H-CO-180",28,"CO",180,"24H",31,12,1,13,32,44,0.704545454545455,0.272727272727273,0.0227272727272727,0.295454545454545,0.727272727272727,17,4
"149","24H-CO-90",1,"CO",90,"24H",48,0,0,0,48,48,1,0,0,0,1,20,4
"150","24H-CO-90",7,"CO",90,"24H",46,2,0,2,46,48,0.958333333333333,0.0416666666666667,0,0.0416666666666667,0.958333333333333,20,4
"151","24H-CO-90",13,"CO",90,"24H",43,4,1,5,44,48,0.895833333333333,0.0833333333333333,0.0208333333333333,0.104166666666667,0.916666666666667,20,4
"152","24H-CO-90",21,"CO",90,"24H",42,6,0,6,42,48,0.875,0.125,0,0.125,0.875,20,4
"153","24H-CO-90",28,"CO",90,"24H",38,10,0,10,38,48,0.791666666666667,0.208333333333333,0,0.208333333333333,0.791666666666667,20,4
