FECHA,TEMP MAX (A°C),TEMP MIN (A°C),HR MAX (%),HR MIN (%)
3/3/2014,28.6,24.8,61,43
4/3/2014,28.8,25.2,60,41
5/3/2014,27.4,25.4,54,39
6/3/2014,27.7,25.8,55,43
7/3/2014,27.4,25.7,57,46
8/3/2014,,,,
9/3/2014,,,,
10/3/2014,27.2,25.5,63,48
11/3/2014,26.7,24.6,61,50
12/3/2014,27.1,25.9,60,49
13/03/2014,27.5,25.5,61,50
14/03/2014,28.2,25.1,62,51
15/03/2014,,,,
16/03/2014,,,,
17/03/2014,28,26.1,63,45
18/03/2014,27.6,25.7,61,44
19/03/2014,27.8,26,61,45
20/03/2014,28.2,26.5,62,45
21/03/2014,28.7,27,63,49
22/03/2014,,,,
23/03/2014,,,,
24/03/2014,28.4,27.4,60,46
25/03/2014,28.4,26.8,57,51
26/03/2014,27.9,26.9,56,42
27/03/2014,27.7,26.8,53,42
28/03/2014,28.4,25.8,53,45
29/03/2014,,,,
30/03/2014,,,,
31/03/2014,28.9,25.9,54,36
1/4/2014,26.7,25.7,54,38
2/4/2014,27.1,26,53,38
3/4/2014,27.5,26.5,51,35
4/4/2014,28.2,27,52,36
5/4/2014,,,,
6/4/2014,,,,
7/4/2014,28.1,25.9,50,36
8/4/2014,28.1,25.5,51,36
9/4/2014,27.6,25.1,51,37
10/4/2014,27.4,25.2,49,35
11/4/2014,27.4,25.4,49,36
12/4/2014,,,,
13/04/2014,,,,
14/04/2014,27.1,26.4,47,36
15/04/2014,27.1,25.3,49,38
16/04/2014,27.4,26.9,48,37
17/04/2014,28.5,26.3,47,37
18/04/2014,28.3,26.3,48,35
19/04/2014,,,,
20/04/2014,,,,
21/04/2014,27.7,26.9,48,34
22/04/2014,27.3,26.3,46,36
23/04/2014,27.5,25.2,42,35
24/04/2014,27.9,24.9,44,35
25/04/2014,28.4,25.3,46,35
26/04/2014,,,,
27/04/2014,,,,
28/04/2014,28.1,25.5,44,35
29/04/2014,27.6,25.2,45,36
30/04/2014,27.4,25.4,46,34
1/5/2014,27.8,25.3,43,35
2/5/2014,27.2,24.7,46,36
3/5/2014,,,,
4/5/2014,,,,
5/5/2014,27.9,25.3,49,32
6/5/2014,28,24.9,47,30
7/5/2014,28.9,24.6,47,27
8/5/2014,28.7,24,45,28
9/5/2014,28.8,24.1,43,28
10/5/2014,,,,
11/5/2014,,,,
12/5/2014,27.9,25.2,44,30
13/05/2014,27.1,25,41,28
14/05/2014,27.7,24.5,40,35
15/05/2014,28.2,25.8,40,27
16/05/2014,27.5,25.6,38,27
17/05/2014,,,,
18/05/2014,,,,
19/05/2014,27.8,25.3,43,27
20/05/2014,27.5,25.9,40,27
21/05/2014,27.2,26.5,43,40
22/05/2014,27.1,26.5,44,42
23/05/2014,26.8,25,39,32
24/05/2014,,,,
25/05/2014,,,,
26/05/2014,26.5,24.2,43,31
27/05/2014,25.9,22.6,35,25
28/05/2014,25.9,22.6,38,25
29/05/2014,26.1,22.9,36,27
30/05/2014,26.3,23,36,26
31/05/2014,,,,
1/6/2014,,,,
2/6/2014,26.3,23.8,39,23
3/6/2014,26.8,25.9,35,26
4/6/2014,26.8,25,37,26
5/6/2014,26.6,24.5,35,26
6/6/2014,26.5,24.4,37,27
7/6/2014,,,,
8/6/2014,,,,
9/6/2014,26.5,23.6,36,26
10/6/2014,25.6,25,33,28
11/6/2014,25.6,24.7,36,31
12/6/2014,25.9,22.5,37,29
13/06/2014,25,22.8,41,25
14/06/2014,,,,
15/06/2014,,,,
16/06/2014,25.6,22.8,38,27
17/06/2014,26.3,23,32,23
18/06/2014,25.6,23.8,33,27
19/06/2014,25.6,23.4,32,26
20/06/2014,25.9,24.1,33,28
21/06/2014,,,,
22/06/2014,,,,
23/06/2014,25.6,24.2,36,26
24/06/2014,25,22.9,36,27
25/06/2014,26.2,24.7,37,29
26/06/2014,26.9,22,34,26
27/06/2014,25.8,23.6,34,28
28/06/2014,,,,
29/06/2014,,,,
30/06/2014,25.8,22.7,67,28
1/7/2014,25.6,24.2,39,30
2/7/2014,25.8,24.4,42,31
3/7/2014,25.8,25,42,36
4/7/2014,25.8,25,41,32
5/7/2014,,,,
6/7/2014,,,,
7/7/2014,25.8,23.9,42,29
8/7/2014,25.9,23.4,34,27
9/7/2014,26.2,24.7,35,29
10/7/2014,26.5,23.2,31,29
11/7/2014,,,,
12/7/2014,,,,
13/07/2014,,,,
14/07/2014,27.1,25.8,39,27
15/07/2014,27.5,25.6,36,27
16/07/2014,26.8,24.6,35,27
17/07/2014,26.8,22.6,32,27
18/07/2014,26.5,21.9,31,29
19/07/2014,,,,
20/07/2014,,,,
21/07/2014,26.5,22.2,36,27
22/07/2014,26.8,25.6,32,27
23/07/2014,26.5,25.3,39,30
24/07/2014,26.5,24.9,33,29
25/07/2014,26.8,23.6,34,28
26/07/2014,,,,
27/07/2014,,,,
28/07/2014,,,,
29/07/2014,,,,
30/07/2014,27.1,24.8,33,28
31/07/2014,27.4,26,37,31
1/8/2014,27.1,23.8,32,29
2/8/2014,,,,
3/8/2014,,,,
4/8/2014,27.4,22.6,37,26
5/8/2014,27.2,24.7,31,26
6/8/2014,26.5,25,32,27
7/8/2014,26.6,23.4,33,26
8/8/2014,26.2,25,35,30
9/8/2014,,,,
10/8/2014,,,,
11/8/2014,26.2,24.7,44,30
12/8/2014,26.5,24.7,42,31
13/08/2014,26.5,24.7,38,27
14/08/2014,26.2,25.3,43,38
15/08/2014,,,,
16/08/2014,,,,
17/08/2014,,,,
18/08/2014,28,26.2,43,28
19/08/2014,27.7,26.8,36,26
20/08/2014,27.4,26.8,40,35
21/08/2014,27.4,25.3,33,26
22/08/2014,27.7,25.2,34,27
23/08/2014,,,,
24/08/2014,,,,
25/08/2014,27.1,25.8,36,28
26/08/2014,26.8,24.5,31,26
27/08/2014,26.2,23.6,30,26
28/08/2014,25.8,24.4,30,26
29/08/2014,25.8,22.6,30,26
30/08/2014,,,,
31/08/2014,,,,
1/9/2014,28,24.6,37,26
2/9/2014,28.4,27.1,36,26
3/9/2014,28,26.8,36,28
4/9/2014,28,27.4,37,30
5/9/2014,28,26.8,33,26
6/9/2014,,,,
7/9/2014,,,,
8/9/2014,28.4,27.4,41,26
9/9/2014,,,,
10/9/2014,28.7,27.8,33,26
11/9/2014,28.4,27.5,32,29
12/9/2014,28.4,27.4,30,26
13/09/2014,,,,
14/09/2014,,,,
15/09/2014,28.4,26.8,38,28
16/09/2014,28,27.1,36,31
17/09/2014,28,26.8,33,26
18/09/2014,28,26.8,35,29
19/09/2014,28.2,26.7,34,26
20/09/2014,,,,
21/09/2014,,,,
22/09/2014,28,26.5,30,26
23/09/2014,27.7,25.6,30,26
24/09/2014,28.7,26.2,32,27
25/09/2014,28,25.8,30,26
26/09/2014,,,,
27/09/2014,,,,
28/09/2014,,,,
29/09/2014,28.4,27.4,36,29
30/09/2014,28.4,26.8,36,28
1/10/2014,28.4,27.4,32,26
2/10/2014,27.7,26.5,30,26
3/10/2014,28.4,27.1,31,26
4/10/2014,,,,
5/10/2014,,,,
6/10/2014,29.1,27.1,33,26
7/10/2014,29.1,28.1,34,29
8/10/2014,,,,
9/10/2014,29.1,28.4,35,30
10/10/2014,28.8,27.4,32,26
11/10/2014,,,,
12/10/2014,,,,
13/10/2014,28.8,24.4,37,30
14/10/2014,29.1,27.1,36,32
15/10/2014,29.5,28.8,37,32
16/10/2014,29.5,28.6,36,31
17/10/2014,29.5,26.4,31,27
18/10/2014,,,,
19/10/2014,,,,
20/10/2014,29.5,28.4,31,26
21/10/2014,29,26.5,30,26
22/10/2014,28.4,27.8,30,27
23/10/2014,28.8,27.8,30,26
24/10/2014,29.1,27.5,30,26
25/10/2014,,,,
26/10/2014,,,,
27/10/2014,,,,
28/10/2014,29,27.7,30,26
29/10/2014,29,25.3,30,26
30/10/2014,28.4,26.5,30,27
31/10/2014,28.4,26.8,30,26
1/11/2014,,,,
2/11/2014,,,,
3/11/2014,28.4,26.5,37,26
4/11/2014,27.7,26.8,30,26
5/11/2014,28.4,27.8,30,26
6/11/2014,,,,
7/11/2014,28.6,27.1,30,27
8/11/2014,,,,
9/11/2014,,,,
10/11/2014,29.5,28.1,32,26
11/11/2014,,,,
12/11/2014,29.8,28.7,36,30
13/11/2014,28.7,28,34,30
14/11/2014,28.4,27.4,35,30
15/11/2014,,,,
16/11/2014,,,,
17/11/2014,27.7,26.5,41,33
18/11/2014,29,25.6,37,27
19/11/2014,,,,
20/11/2014,28.8,27.1,33,26
21/11/2014,28.4,26.5,31,26
22/11/2014,,,,
23/11/2014,,,,
24/11/2014,28.1,26.2,30,27
25/11/2014,28.4,25.3,30,26
26/11/2014,29.5,27.1,30,26
27/11/2014,29.8,28.4,30,26
28/11/2014,29.5,27.4,30,26
29/11/2014,,,,
30/11/2014,,,,
1/12/2014,29.5,27.7,33,26
2/12/2014,29.5,28.4,30,26
3/12/2014,29.8,28.8,31,26
4/12/2014,29.5,28.4,32,26
5/12/2014,29.4,27.4,32,27
6/12/2014,,,,
7/12/2014,,,,
8/12/2014,,,,
9/12/2014,30.2,28.4,37,29
10/12/2014,29.8,28.6,37,30
11/12/2014,29.5,27.7,37,30
12/12/2014,29,27.4,39,31
13/12/2014,,,,
14/12/2014,,,,
15/12/2014,27.7,25.8,40,30
16/12/2014,27.1,25,36,27
17/12/2014,27.4,25.8,38,27
18/12/2014,35.5,23.1,34,26
19/12/2014,27.1,25.3,36,27
20/12/2014,,,,
21/12/2014,,,,
22/12/2014,36.3,25.6,68,28
23/12/2014,,,,
24/12/2014,27.1,25.3,40,29
25/12/2014,,,,
26/12/2014,27.8,26.8,41,36
27/12/2014,,,,
28/12/2014,,,,
29/12/2014,28.4,25.3,41,26
30/12/2014,,,,
31/12/2014,27.8,25.9,42,32
1/1/2015,,,,
2/1/2015,,,,
3/1/2015,,,,
4/1/2015,,,,
5/1/2015,28.1,26.2,45,31
6/1/2015,28.1,26.2,38,26
7/1/2015,28.4,27.4,38,28
8/1/2015,28.5,27.8,38,27
9/1/2015,28.4,27.1,37,27
10/1/2015,,,,
11/1/2015,,,,
12/1/2015,28.8,28.1,41,33
13/01/2015,28.8,28.1,32,27
14/01/2015,28.4,27.5,32,26
15/01/2015,28.4,27.5,32,26
16/01/2015,28,26.5,30,27
17/01/2015,,,,
18/01/2015,,,,
19/01/2015,28.4,25.9,39,29
20/01/2015,27.4,26.2,40,34
21/01/2015,26.8,25.8,41,30
22/01/2015,26.5,25.3,42,31
23/01/2015,27.4,25,44,34
24/01/2015,,,,
25/01/2015,,,,
26/01/2015,27.1,26.2,44,39
27/01/2015,27.5,27.1,45,38
28/01/2015,27.1,26.5,48,41
29/01/2015,26.8,25,50,39
30/01/2015,26.4,25.3,49,38
31/01/2015,,,,
