Nro_ pareja,Procedencia,Fecha_Inicio_ Pareja,s1_p,s1_v,s2_p,s2_v,s3_p,s3_v,s4_p,s4_v,s5_p,s5_v,s6_p,s6_v,s7_p,s7_v,s8_p,s8_v,s9_p,s9_v,s10_p,s10_v,s11_p,s11_v,s12_p,s12_v,s13_p,s13_v,s14_p,s14_v,s15_p,s15_v,s16_p,s16_v,s17_p,s17_v,s18_p,s18_v,s19_p,s19_v,s20_p,s20_v,s21_p,s21_v,s22_p,s22_v,s23_p,s23_v,s24_p,s24_v,s25_p,s25_v,s26_p,s26_v,s27_p,s27_v,s28_p,s28_v,s29_p,s29_v,s30_p,s30_v,s31_p,s31_v,s32_p,s32_v,s33_p,s33_v,s34_p,s34_v,Longevidad,Nro_semanas_postura,tot_huevos_puestos_ x_ pareja,tot_huevos_viables_x_pareja,%_viablilidad
P1,CO,23/05/2014,0,,0,,0,,4,3,2,1,1,1,6,4,3,1,2,0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,16,18,10,56%
P2,CO,23/05/2014,0,,3,0,3,0,6,2,4,2,6,4,6,3,5,3,0,,0,,0,,3,0,5,0,4,1,2,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,18,47,15,32%
P3,CO,29/05/2014,4,1,2,0,2,1,9,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,17,7,41%
P4,CO,29/05/2014,3,2,8,6,8,3,0,,8,5,10,6,9,6,6,5,1,1,6,3,10,10,11,4,7,3,11,6,8,5,4,1,17,7,12,2,11,4,4,2,5,3,10,3,2,1,,,,,,,,,,,,,,,,,,,,,,,24,23,171,88,51%
P5,CO,9/6/2014,0,,0,,1,1,1,1,3,3,4,3,7,6,3,1,5,4,2,1,2,1,8,5,11,8,8,6,7,5,5,5,9,8,4,2,6,2,1,0,0,,0,,0,,0,,4,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,35,34,91,63,69%
P6,CO,19/06/2014,0,,0,,4,3,1,1,2,2,5,4,3,1,3,3,8,6,5,1,7,4,6,5,7,4,2,1,4,3,6,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,17,63,41,65%
P7,CO,26/06/2014,0,,2,2,1,1,1,0,0,,0,,8,8,7,2,6,4,6,2,5,1,7,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,13,44,24,55%
P8,CO,30/06/2014,1,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,16,1,0,0%
P9,CO,30/06/2014,2,2,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,2,2,100%
P10,CO,7/7/2014,2,0,4,4,5,4,4,3,1,1,10,9,10,6,6,6,15,14,10,10,10,10,7,7,4,4,2,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,25,24,90,79,88%
P11,CO,7/7/2014,3,2,6,4,6,5,9,9,7,7,10,10,7,6,8,8,12,12,7,6,7,7,7,5,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,20,89,81,91%
P12,CO,28/07/2014,3,3,4,4,6,5,9,7,8,6,11,9,7,6,9,8,9,9,10,7,10,10,9,3,5,0,7,4,5,1,3,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,27,26,115,83,72%
P13,CO,4/8/2014,0,,0,,2,2,3,3,4,3,5,2,1,0,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,15,10,67%
P14,CO,4/8/2014,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,0,0,#¡DIV/0!
P15,I-R1,5/5/2014,4,4,7,4,7,6,5,5,4,4,0,,2,2,2,1,0,,1,0,2,2,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,13,35,29,83%
P16,I-R1,5/5/2014,1,1,1,0,5,3,4,2,4,3,6,5,4,4,3,2,4,0,1,1,1,1,3,2,2,0,3,1,1,1,3,3,3,2,5,4,2,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,25,24,56,35,63%
P17,I-R1,12/5/2014,0,,8,7,6,5,7,6,4,3,0,,0,,0,,3,3,4,3,5,5,1,1,0,,3,2,2,2,1,0,10,8,6,4,5,5,3,0,5,2,2,1,4,2,0,,0,,0,,0,,,,,,,,,,,,,,,,28,27,79,59,75%
P18,I-R1,12/5/2014,0,,4,4,6,6,4,3,5,2,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,24,20,83%
P19,I-R1,15/05/2014,1,1,8,8,5,4,3,2,4,4,2,2,0,,2,2,5,5,3,3,1,1,2,1,3,0,6,3,7,6,2,2,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,20,54,44,81%
P20,I-R1,23/05/2014,0,,0,,0,,0,,6,2,8,4,5,3,12,4,2,0,4,1,2,2,1,1,4,1,7,4,7,0,5,0,4,0,11,1,6,1,8,0,5,1,9,6,4,1,11,6,6,2,,,,,,,,,,,,,,,,,,,26,25,127,40,31%
P21,I-R1,23/05/2014,0,,0,,0,,3,3,7,7,0,,5,4,8,8,7,7,4,3,1,1,1,0,6,6,10,10,3,1,6,4,0,,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,19,62,54,87%
P22,I-R1,26/05/2014,0,,0,,3,3,5,4,1,1,10,5,6,6,6,5,4,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,35,27,77%
P23,I-R1,26/05/2014,0,,0,,0,,3,1,8,4,5,2,1,1,0,,3,3,0,,0,,0,,3,3,9,2,11,6,7,5,9,8,8,6,6,2,7,1,4,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,25,24,84,44,52%
P24,I-R1,9/6/2014,0,,1,1,1,1,11,8,10,6,5,4,3,1,6,2,3,3,4,2,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,45,29,64%
P25,I-R1,9/6/2014,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,0,#¡DIV/0!
P26,I-R1,16/06/2014,3,3,15,13,8,5,6,6,1,0,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,36,30,83%
P27,I-R1,10/7/2014,1,1,3,2,6,6,4,3,2,2,11,11,8,7,8,8,5,5,7,6,7,6,10,10,6,6,11,9,6,5,0,,5,4,7,5,1,1,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,28,27,108,97,90%
P28,I-R1,10/7/2014,7,7,4,4,3,3,0,,1,0,8,7,13,12,12,11,12,9,9,7,17,15,11,10,7,7,16,15,11,10,16,15,7,6,8,6,3,0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,27,26,165,144,87%
P29,I-R1,10/7/2014,8,6,1,0,8,7,2,2,4,4,11,10,10,10,9,9,8,5,4,3,8,6,10,9,6,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,14,89,73,82%
P30,I-R1,10/7/2014,12,9,7,2,8,5,1,1,2,0,10,7,5,4,10,5,7,2,3,0,7,0,3,0,0,,9,1,9,0,4,1,2,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,23,22,99,37,37%
P31,I-R1,10/7/2014,11,9,8,4,14,11,5,5,11,9,17,16,14,13,14,11,8,4,3,0,2,2,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,14,108,85,79%
P32,I-R1,10/7/2014,5,5,3,3,13,12,12,9,7,6,14,14,10,8,14,13,15,11,11,10,7,5,10,10,16,10,3,3,0,,11,6,7,3,6,4,10,9,10,8,4,4,8,7,7,7,4,4,4,3,0,,0,,0,,,,,,,,,,,,,,29,28,211,174,82%
P33,I-R2,5/5/2014,0,,0,,0,,5,2,6,4,6,4,4,1,7,6,2,2,4,3,7,7,3,2,6,3,0,,1,0,10,8,4,3,12,5,6,3,0,,0,,6,3,12,3,5,0,0,,0,,0,,,,,,,,,,,,,,,,28,27,106,59,56%
P34,I-R2,5/5/2014,0,,2,0,1,0,1,0,0,,0,4,3,3,7,6,12,11,8,6,5,5,1,1,1,1,3,3,1,1,3,2,1,1,5,4,8,1,4,2,5,5,11,8,7,5,11,9,6,5,6,3,6,1,4,0,1,0,0,,0,,,,,,,,32,31,123,87,71%
P35,I-R2,12/5/2014,0,,4,3,3,1,0,,2,0,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,12,5,42%
P36,I-R2,26/05/2014,0,,0,,0,,0,,0,,2,1,5,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,8,5,63%
P37,I-R2,26/05/2014,0,,2,0,2,1,7,5,8,7,4,3,0,,0,,0,,0,,2,1,0,,3,2,5,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,15,33,21,64%
P38,I-R2,29/05/2014,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,0,#¡DIV/0!
P39,I-R2,2/6/2014,0,,0,,0,,0,,3,3,3,3,2,1,6,5,0,,0,,4,3,5,4,6,5,8,7,9,5,7,6,4,4,8,6,3,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,20,72,58,81%
P40,I-R2,2/6/2014,0,,0,,0,,8,7,4,3,4,3,2,2,8,5,7,6,2,1,7,4,9,5,6,4,4,2,9,3,5,3,6,6,4,2,4,2,4,2,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,24,23,94,60,64%
P41,I-R2,9/6/2014,0,,0,,1,1,1,1,5,3,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,7,5,71%
P42,I-R2,19/06/2014,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,0,#¡DIV/0!
P43,I-R2,7/7/2014,0,,0,,4,4,2,1,4,3,3,2,5,5,8,7,10,10,5,4,4,4,10,10,5,4,2,2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,26,25,62,56,90%